biopolymer_type,pore_size,porosity,printing_method,layer_thickness,material_composition,density,compressive_strength,elastic_modulus,degradation_rate,cell_viability,bone_regeneration_score
PLGA,187.57609239962284,80.67991501773,freeze drying,258.89755528127046,0.08898832676577156,0.29000778160577745,5.477939694200425,327.64077645487345,5.897055584132267,68.41446798972787,7.971444487470668
Gelatin,50.58407438076075,94.49375135392914,electrospinning,266.1185283697008,0.2384996271516183,0.09797264520561257,1.1682360905712388,74.72416564656518,2.448182379989241,60.004637918676444,3.9640221623452243
PLGA,494.31092664653187,33.01927682679985,salt leaching,262.6406981655034,0.0823961897831164,0.9974348009697297,38.006275254422285,4075.8079608860044,5.774924068137929,55.79522825552214,3.07229812704667
Gelatin,244.08498620001268,73.06394848300883,FDM,159.09887663129385,0.4910234842504676,0.6017089051001966,23.063258661673398,3477.0118746492194,3.3157978578052756,87.1924103088299,5.602139045213088
Gelatin,83.92046668290355,51.14647149961218,salt leaching,186.0370513913187,0.3813375336732941,0.9948569480076014,41.70374524762938,8318.482806570299,2.769351624798431,74.72785880929831,2.811710387729012
PLA,199.0367611506293,30.358937613034158,FDM,335.41149995919193,0.27680644214957806,1.231741682499265,72.3708398087547,12744.744754442429,18.731320509733735,67.88748916713679,3.93425949913019
PCL,97.66876271451773,50.213850911518044,FDM,163.81416270936145,0.21668018827695876,0.7863442338325625,29.979838617995505,4350.861138052849,24.0,67.91463205483464,4.360386279601072
Gelatin,442.0496220364955,57.79016619330572,SLS,58.896694360433315,0.027607770486918752,0.5908085056628443,4.566525131539057,433.42826142160425,2.8589893925745087,65.21061819807782,6.296375756916927
PGA,170.91596544050333,90.43034740226724,SLS,332.84213284754594,0.3125315899518051,0.1948669483601358,5.377322256346273,312.55564894940176,2.500565788244856,67.61095583844023,7.170802354335188
Gelatin,254.0991870384765,72.09985783518854,FDM,50.182131948360535,0.0766450110339595,0.415143239898233,4.727692608406689,545.2452403270071,2.985519594003293,71.67469668347282,6.678761728526879
PGA,214.0731646798027,66.27663013112718,electrospinning,191.3426598703143,0.1997330185160982,0.62508542042056,29.15212959275249,2513.3575900852743,2.296801514418929,80.7605431512853,4.646189344915718
PCL,358.27775998867344,32.148297638535645,SLA,170.77493680933904,0.32209825835085604,1.215093040931972,70.25996865756474,13684.63209001593,24.0,58.77109457636362,3.982984387743285
PLA,325.8373495394399,71.09987898858266,electrospinning,271.73539876631315,0.08524692237951856,0.4054171462585977,11.968618425789911,822.7917010045563,15.033483483300369,76.45058159577142,8.581313424102497
PGA,434.06979372446074,44.72222538786597,SLA,275.8104766433074,0.3845327615137072,1.190099019781017,64.79960364303628,10011.607792729046,2.7904920747017026,57.22658954938975,3.4565186496846088
Gelatin,243.4562207863667,72.89896299222164,SLA,336.02777007042556,0.21011873696910635,0.46836384160430106,11.200308474883816,1564.1760962397025,3.1952861222594566,77.40750432470853,6.141993485662155
PGA,594.4667591526795,88.31216689691752,SLS,360.4802484927911,0.2011366186448704,0.2169076363973233,6.2731178737291975,319.61645229549305,2.4670086929875503,48.27492655565212,5.558339310972567
PGA,53.796187884664015,40.45252334213741,FDM,242.05682627830515,0.24921394821100237,1.1514853934406144,63.42681562836008,8184.608788734536,2.6798294140003414,58.86198470271741,2.095463934084948
PGA,281.0455938892919,65.26511498606845,FDM,228.084926893566,0.03662263168367736,0.5520514837002822,21.883510490597317,801.2854613006232,2.71534053427831,67.73430174166639,5.625066044267127
PLA,551.6930447473247,86.1708917296737,salt leaching,130.56484388454436,0.19624340399927503,0.2233158840237944,6.371859599327728,436.6234555617392,18.59253723697566,72.12006242074324,7.566592890691346
Gelatin,479.21935187812875,93.72155294154297,freeze drying,76.37118960214487,0.28524584776997963,0.11699525245880323,1.4029602182184056,97.73807178296596,2.5961604366380184,81.0794381262971,5.970943607751971
Gelatin,511.2554200243773,94.35350025677711,SLA,99.02940533278341,0.08205189688539843,0.08456725479800735,0.4809867902955697,25.440403440755922,2.5116277564442004,55.90137566420201,3.5455735253103944
PGA,700.3042389350778,89.36063591617064,SLA,228.96983960132823,0.23853740553691066,0.203896028625521,5.580836511957772,297.42309927615366,2.697743939720098,51.65932038926841,5.608172436430074
PCL,296.1145006060489,40.07770508730337,electrospinning,393.6443109086859,0.4285992788011823,1.2010474570434317,66.0984814118746,13110.424823754358,24.0,70.25224402951565,4.736958663396495
PLGA,773.9388727930773,59.72223550489235,salt leaching,344.7080762541935,0.17284686468031865,0.6657321683329828,21.201787356401685,2484.4413283979898,7.104978003119578,62.05413895091116,4.278800086161842
PGA,608.0319822493366,46.30593427753298,salt leaching,114.51678601597952,0.05256878498302839,0.8672458406461747,48.897876651139214,2609.045134707237,2.536222662610015,50.73958066242753,2.2049106523742283
PLA,259.95042270945714,92.06624324310762,freeze drying,308.263920843519,0.19739801632377404,0.128291243640358,2.381640766878201,123.9120498443563,18.28304647057501,70.59193899514914,6.922602228189182
Chitosan,283.55998204347065,93.66818436039806,FDM,111.36559446126849,0.4152423091406794,0.13465707953115139,2.286391886241837,155.2014298592259,7.565975644734561,69.2339475844125,8.182363948319788
PLGA,245.67021750628547,30.994795118875007,SLA,376.70270782781904,0.15975943026876918,1.1242083485418017,58.421011624158844,8665.062495021859,7.64663735315725,62.23782065509801,4.158387979511536
PLGA,341.1274446548914,71.81373419875295,salt leaching,210.38851167203083,0.27796270498497067,0.5195045871449844,20.055354584868894,2357.852982964655,5.662166767063695,72.78301131749032,5.778958545722159
PCL,120.83222056694629,74.3954402720632,freeze drying,74.91602696108015,0.35439966999892125,0.4751108716217483,18.131250954124983,2232.426186272503,24.0,86.53354092288659,6.5305809194381075
Chitosan,261.52592942847986,41.53357034568198,freeze drying,312.7151630743004,0.3366963590709936,1.163025110029014,60.1402424883965,11954.017001259816,8.07442607938555,85.93816368675746,5.303448145370342
PLA,604.9315703355309,45.48534990625866,freeze drying,182.2051101617032,0.5374235063419922,1.2355630402097517,67.75678891248367,13072.694844610753,19.196461660009977,71.91147851502586,4.045787665887824
PLA,762.5464752881037,91.78946455094115,salt leaching,250.70326084315013,0.3806103844950466,0.16149842710310094,3.821567149549189,258.24449731457133,19.513642487054376,64.94678572674896,7.182419606701152
