topology,mode,n_struts,n_layers,strut_d,porosity,relative_density,E_rel,D_eff_rel,tortuosity,specific_surface_per_mm,solid_connectivity,pore_connected,cg_converged
fdm_strut,aligned,2,8,0.1562,0.75,0.25,0.080315,0.599716,1.251,6.625,1.0,1,1
fdm_strut,aligned,2,8,0.1719,0.6875,0.3125,0.09325,0.512067,1.343,8.0,1.0,1,1
fdm_strut,aligned,2,8,0.1875,0.6562,0.3438,0.127218,0.479927,1.367,7.625,1.0,1,1
fdm_strut,aligned,2,8,0.2031,0.6562,0.3438,0.121164,0.485104,1.353,7.125,1.0,1,1
fdm_strut,aligned,2,8,0.2188,0.6406,0.3594,0.138777,0.471505,1.359,6.7188,1.0,1,1
fdm_strut,aligned,2,8,0.2344,0.5859,0.4141,0.150665,0.423906,1.382,7.5,1.0,1,1
fdm_strut,aligned,2,8,0.25,0.5469,0.4531,0.20391,0.388512,1.408,7.125,1.0,1,1
fdm_strut,staggered,2,8,0.1562,0.75,0.25,0.01888,0.555985,1.349,6.625,1.0,1,1
fdm_strut,staggered,2,8,0.1719,0.6875,0.3125,0.028266,0.478215,1.438,8.0,1.0,1,1
fdm_strut,staggered,2,8,0.1875,0.6562,0.3438,0.039179,0.432681,1.517,7.625,1.0,1,1
fdm_strut,staggered,2,8,0.2031,0.6562,0.3438,0.057707,0.47256,1.389,7.125,1.0,1,1
fdm_strut,staggered,2,8,0.2188,0.6406,0.3594,0.070073,0.457691,1.4,6.7188,1.0,1,1
fdm_strut,staggered,2,8,0.2344,0.5859,0.4141,0.098511,0.406983,1.44,7.5,1.0,1,1
fdm_strut,staggered,2,8,0.25,0.5469,0.4531,0.137623,0.35877,1.524,7.125,1.0,1,1
fdm_strut,aligned,2,10,0.125,0.7656,0.2344,0.058573,0.616714,1.241,7.625,1.0,1,1
fdm_strut,aligned,2,10,0.1375,0.7656,0.2344,0.059493,0.62072,1.233,7.25,1.0,1,1
fdm_strut,aligned,2,10,0.15,0.75,0.25,0.080315,0.599716,1.251,6.625,1.0,1,1
fdm_strut,aligned,2,10,0.1625,0.6875,0.3125,0.089184,0.495975,1.386,8.625,1.0,1,1
fdm_strut,aligned,2,10,0.175,0.6797,0.3203,0.094865,0.507781,1.339,8.0,1.0,1,1
fdm_strut,aligned,2,10,0.1875,0.6562,0.3438,0.127218,0.479927,1.367,7.625,1.0,1,1
fdm_strut,aligned,2,10,0.2,0.6562,0.3438,0.121164,0.485104,1.353,7.125,1.0,1,1
fdm_strut,staggered,2,10,0.125,0.7656,0.2344,0.007783,0.557775,1.373,7.625,1.0,1,1
fdm_strut,staggered,2,10,0.1375,0.7656,0.2344,0.009518,0.558482,1.371,7.25,1.0,1,1
fdm_strut,staggered,2,10,0.15,0.75,0.25,0.01888,0.555985,1.349,6.625,1.0,1,1
fdm_strut,staggered,2,10,0.1625,0.6875,0.3125,0.021469,0.437035,1.573,8.625,1.0,1,1
fdm_strut,staggered,2,10,0.175,0.6797,0.3203,0.028431,0.469523,1.448,8.0,1.0,1,1
fdm_strut,staggered,2,10,0.1875,0.6562,0.3438,0.039179,0.432681,1.517,7.625,1.0,1,1
fdm_strut,staggered,2,10,0.2,0.6562,0.3438,0.057707,0.47256,1.389,7.125,1.0,1,1
fdm_strut,aligned,2,12,0.1042,0.8125,0.1875,0.035088,0.645544,1.259,9.1562,1.0,1,1
fdm_strut,aligned,2,12,0.1146,0.7812,0.2188,0.044791,0.625006,1.25,8.25,1.0,1,1
fdm_strut,aligned,2,12,0.125,0.7656,0.2344,0.058573,0.616714,1.241,7.625,1.0,1,1
fdm_strut,aligned,2,12,0.1354,0.7656,0.2344,0.059493,0.62072,1.233,7.25,1.0,1,1
fdm_strut,aligned,2,12,0.1458,0.75,0.25,0.079126,0.605188,1.239,7.0,1.0,1,1
fdm_strut,aligned,2,12,0.1562,0.75,0.25,0.080315,0.599716,1.251,6.625,1.0,1,1
fdm_strut,aligned,2,12,0.1667,0.6875,0.3125,0.089184,0.495975,1.386,8.625,1.0,1,1
fdm_strut,staggered,2,12,0.1042,0.8125,0.1875,0.002402,0.566989,1.433,9.1562,1.0,1,1
fdm_strut,staggered,2,12,0.1146,0.7812,0.2188,0.004218,0.553894,1.41,8.25,1.0,1,1
fdm_strut,staggered,2,12,0.125,0.7656,0.2344,0.007783,0.557775,1.373,7.625,1.0,1,1
fdm_strut,staggered,2,12,0.1354,0.7656,0.2344,0.009518,0.558482,1.371,7.25,1.0,1,1
fdm_strut,staggered,2,12,0.1458,0.75,0.25,0.012148,0.540532,1.388,7.0,1.0,1,1
fdm_strut,staggered,2,12,0.1562,0.75,0.25,0.01888,0.555985,1.349,6.625,1.0,1,1
fdm_strut,staggered,2,12,0.1667,0.6875,0.3125,0.021469,0.437035,1.573,8.625,1.0,1,1
fdm_strut,aligned,3,8,0.1562,0.5938,0.4062,0.187332,0.412368,1.44,10.2812,1.0,1,1
fdm_strut,aligned,3,8,0.1719,0.5547,0.4453,0.207565,0.375063,1.479,10.5,1.0,1,1
fdm_strut,aligned,3,8,0.1875,0.4922,0.5078,0.277624,0.307728,1.599,10.5,1.0,1,1
fdm_strut,aligned,3,8,0.2031,0.4688,0.5312,0.273256,0.294448,1.592,10.7422,1.0,1,1
fdm_strut,aligned,3,8,0.2188,0.4297,0.5703,0.334508,0.262956,1.634,10.0312,1.0,1,1
fdm_strut,aligned,3,8,0.2344,0.3984,0.6016,0.334399,0.25388,1.569,10.1562,1.0,1,1
fdm_strut,staggered,3,8,0.1562,0.5938,0.4062,0.110207,0.381747,1.555,10.2812,1.0,1,1
fdm_strut,staggered,3,8,0.1719,0.5547,0.4453,0.137613,0.357502,1.552,10.5,1.0,1,1
fdm_strut,staggered,3,8,0.1875,0.4922,0.5078,0.195425,0.281317,1.75,10.5,1.0,1,1
fdm_strut,staggered,3,8,0.2031,0.4688,0.5312,0.2292,0.286092,1.638,10.7422,1.0,1,1
fdm_strut,staggered,3,8,0.2188,0.4297,0.5703,0.290331,0.255722,1.68,10.0312,1.0,1,1
fdm_strut,staggered,3,8,0.2344,0.3984,0.6016,0.312079,0.249591,1.596,10.1562,1.0,1,1
