family,topology,mode,pts,P_min,P_max,n,C,r2,C_unphysical,n_struts,n_layers
FDM,,aligned,5,0.314,0.446,1.446,0.731,0.8991,0,4.0,8.0
FDM,,aligned,12,0.682,0.818,1.507,0.502,0.9217,0,2.0,12.0
FDM,,aligned,5,0.306,0.43,1.609,0.87,0.9283,0,6.0,12.0
FDM,,aligned,9,0.314,0.55,1.652,0.846,0.9789,0,5.0,12.0
FDM,,aligned,12,0.545,0.727,1.656,0.759,0.8623,0,4.0,16.0
FDM,,aligned,12,0.744,0.835,1.661,0.6,0.9146,0,2.0,14.0
FDM,,aligned,12,0.531,0.715,1.752,0.78,0.9914,0,3.0,12.0
FDM,,aligned,10,0.314,0.579,1.761,0.843,0.9322,0,4.0,10.0
FDM,,aligned,5,0.314,0.442,1.769,0.882,0.9707,0,5.0,10.0
FDM,,aligned,12,0.463,0.727,1.789,0.841,0.88,0,4.0,14.0
FDM,,aligned,12,0.76,0.86,1.793,0.725,0.8214,0,2.0,16.0
FDM,,aligned,12,0.306,0.595,1.8,0.943,0.9805,0,6.0,16.0
FDM,,aligned,12,0.653,0.797,1.818,0.834,0.9825,0,3.0,16.0
FDM,,aligned,12,0.603,0.76,1.855,0.865,0.9881,0,3.0,14.0
FDM,,aligned,12,0.347,0.607,1.856,0.944,0.982,0,5.0,14.0
FDM,,aligned,8,0.314,0.521,1.912,1.0,0.9767,0,6.0,14.0
FDM,,aligned,12,0.426,0.665,1.922,0.991,0.9852,0,5.0,16.0
FDM,,aligned,12,0.516,0.736,1.938,0.919,0.9849,0,2.0,8.0
FDM,,aligned,11,0.318,0.587,1.942,0.936,0.9931,0,3.0,8.0
FDM,,aligned,12,0.438,0.674,1.955,0.934,0.9912,0,3.0,10.0
FDM,,aligned,12,0.405,0.636,1.974,0.98,0.9242,0,4.0,12.0
FDM,,aligned,12,0.62,0.769,1.996,0.96,0.9709,0,2.0,10.0
FDM,,staggered,5,0.318,0.459,2.078,0.887,0.9408,0,4.0,8.0
FDM,,staggered,5,0.306,0.43,2.219,1.044,0.9157,0,6.0,12.0
FDM,,staggered,5,0.314,0.442,2.272,1.019,0.9857,0,5.0,10.0
FDM,,staggered,9,0.314,0.55,2.491,1.134,0.9834,0,5.0,12.0
FDM,,staggered,8,0.314,0.521,2.584,1.238,0.9735,1,6.0,14.0
FDM,,staggered,11,0.302,0.558,2.598,1.119,0.9678,0,4.0,10.0
FDM,,staggered,12,0.306,0.595,2.631,1.268,0.9719,1,6.0,16.0
FDM,,staggered,12,0.347,0.607,2.868,1.396,0.9792,1,5.0,14.0
FDM,,staggered,11,0.318,0.587,2.964,1.371,0.9852,1,3.0,8.0
FDM,,staggered,12,0.38,0.636,3.045,1.505,0.9854,1,4.0,12.0
FDM,,staggered,12,0.426,0.665,3.267,1.867,0.9853,1,5.0,16.0
FDM,,staggered,12,0.471,0.711,3.296,1.797,0.9758,1,4.0,14.0
FDM,,staggered,12,0.438,0.674,3.437,1.958,0.9867,1,3.0,10.0
FDM,,staggered,12,0.545,0.727,3.728,2.699,0.9795,1,4.0,16.0
FDM,,staggered,12,0.516,0.736,3.845,2.68,0.963,1,2.0,8.0
FDM,,staggered,12,0.531,0.715,3.943,3.069,0.9833,1,3.0,12.0
FDM,,staggered,12,0.603,0.76,4.107,3.681,0.9778,1,3.0,14.0
FDM,,staggered,12,0.682,0.818,4.29,4.098,0.92,1,2.0,12.0
FDM,,staggered,12,0.744,0.835,4.318,3.996,0.8541,1,2.0,14.0
FDM,,staggered,12,0.653,0.797,4.35,5.096,0.9794,1,3.0,16.0
FDM,,staggered,12,0.62,0.769,4.475,5.522,0.9196,1,2.0,10.0
FDM,,staggered,12,0.76,0.86,4.7,6.741,0.8753,1,2.0,16.0
TPMS,iwp,network,86,0.191,0.887,1.525,0.84,0.9966,0,,
TPMS,neovius,sheet,90,0.199,0.93,1.558,0.913,0.9948,0,,
TPMS,diamond,sheet,83,0.199,0.93,1.607,0.876,0.9937,0,,
TPMS,gyroid,sheet,90,0.201,0.921,1.857,0.847,0.9933,0,,
TPMS,schwarzP,network,74,0.2,0.781,1.99,1.136,0.9811,0,,
TPMS,schwarzP,sheet,82,0.188,0.919,2.004,0.944,0.9923,0,,
TPMS,iwp,sheet,89,0.191,0.919,2.018,1.204,0.9547,1,,
TPMS,splitP,sheet,90,0.201,0.93,2.159,1.233,0.9311,1,,
TPMS,splitP,network,82,0.195,0.856,2.394,1.192,0.9719,0,,
TPMS,gyroid,network,90,0.191,0.92,2.414,1.106,0.9869,0,,
TPMS,fischerKochS,network,84,0.199,0.871,2.455,1.138,0.9838,0,,
TPMS,diamond,network,90,0.164,0.93,2.629,1.173,0.9614,0,,
TPMS,lidinoid,sheet,90,0.198,0.921,2.636,1.364,0.8205,1,,
TPMS,fischerKochS,sheet,89,0.199,0.921,2.94,2.103,0.4026,1,,
TPMS,neovius,network,58,0.199,0.658,3.56,2.118,0.8569,1,,
TPMS,lidinoid,network,73,0.188,0.805,3.912,1.788,0.7935,1,,
