case,grid,porosity,relative_density,E_rel_z,E_rel_x,K_sc_z,D_eff_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,family,topology,mode,n_cells,target_porosity,n_struts,n_layers,strut_d,stagger
FDM|s2|l10|align,24,0.7083,0.2917,0.08645,0.177927,12.338,0.514564,4.1111,600.9,333.3,FDM,fdm_strut,aligned,,,2.0,10.0,0.1437,0.0
FDM|s2|l10|align,32,0.75,0.25,0.079125,0.164168,13.943,0.605188,3.5,625.0,250.0,FDM,fdm_strut,aligned,,,2.0,10.0,0.1437,0.0
FDM|s2|l10|align,44,0.7479,0.2521,0.065676,0.141734,16.402,0.596209,3.876,609.8,257.1,FDM,fdm_strut,aligned,,,2.0,10.0,0.1437,0.0
FDM|s2|l10|stag,24,0.7083,0.2917,0.013072,0.175605,25.79,0.443027,4.1111,500.0,333.3,FDM,fdm_strut,staggered,,,2.0,10.0,0.1437,1.0
FDM|s2|l10|stag,32,0.75,0.25,0.012146,0.162664,30.382,0.540532,3.5,500.0,250.0,FDM,fdm_strut,staggered,,,2.0,10.0,0.1437,1.0
FDM|s2|l10|stag,44,0.7479,0.2521,0.010931,0.140908,31.057,0.537413,3.876,463.5,257.1,FDM,fdm_strut,staggered,,,2.0,10.0,0.1437,1.0
FDM|s2|l8|align,20,0.66,0.34,0.109186,0.211652,9.765,0.455997,3.92,600.0,400.0,FDM,fdm_strut,aligned,,,2.0,8.0,0.1797,0.0
FDM|s2|l8|align,24,0.6806,0.3194,0.111942,0.1778,9.919,0.508768,3.4444,666.7,333.3,FDM,fdm_strut,aligned,,,2.0,8.0,0.1797,0.0
FDM|s2|l8|align,32,0.6719,0.3281,0.104088,0.211205,11.053,0.498424,3.9375,559.0,353.6,FDM,fdm_strut,aligned,,,2.0,8.0,0.1797,0.0
FDM|s2|l8|align,44,0.6777,0.3223,0.094976,0.187558,11.82,0.518249,3.876,545.5,287.5,FDM,fdm_strut,aligned,,,2.0,8.0,0.1797,0.0
FDM|s2|l8|stag,20,0.66,0.34,0.036643,0.210172,14.709,0.415169,3.92,600.0,400.0,FDM,fdm_strut,staggered,,,2.0,8.0,0.1797,1.0
FDM|s2|l8|stag,24,0.6806,0.3194,0.04589,0.175234,13.607,0.458522,3.4444,527.0,333.3,FDM,fdm_strut,staggered,,,2.0,8.0,0.1797,1.0
FDM|s2|l8|stag,32,0.6719,0.3281,0.030571,0.210384,16.255,0.458885,3.9375,515.4,353.6,FDM,fdm_strut,staggered,,,2.0,8.0,0.1797,1.0
FDM|s2|l8|stag,44,0.6777,0.3223,0.031559,0.186952,16.029,0.486964,3.876,530.1,287.5,FDM,fdm_strut,staggered,,,2.0,8.0,0.1797,1.0
FDM|s3|l10|align,24,0.5625,0.4375,0.194832,0.276682,6.127,0.336416,5.75,333.3,333.3,FDM,fdm_strut,aligned,,,3.0,10.0,0.1437,0.0
FDM|s3|l10|align,32,0.6133,0.3867,0.160787,0.254151,7.251,0.420798,5.625,375.0,250.0,FDM,fdm_strut,aligned,,,3.0,10.0,0.1437,0.0
FDM|s3|l10|align,44,0.6219,0.3781,0.148226,0.218739,7.706,0.457792,5.4711,363.6,257.1,FDM,fdm_strut,aligned,,,3.0,10.0,0.1437,0.0
FDM|s3|l10|stag,24,0.5625,0.4375,0.08618,0.272206,8.201,0.295937,5.75,333.3,333.3,FDM,fdm_strut,staggered,,,3.0,10.0,0.1437,1.0
FDM|s3|l10|stag,32,0.6133,0.3867,0.069601,0.251535,10.045,0.377917,5.625,375.0,250.0,FDM,fdm_strut,staggered,,,3.0,10.0,0.1437,1.0
FDM|s3|l10|stag,44,0.6219,0.3781,0.066728,0.216886,10.204,0.413085,5.4711,363.6,257.1,FDM,fdm_strut,staggered,,,3.0,10.0,0.1437,1.0
FDM|s3|l8|align,20,0.53,0.47,0.260442,0.308348,4.599,0.330741,4.8,400.0,400.0,FDM,fdm_strut,aligned,,,3.0,8.0,0.1797,0.0
FDM|s3|l8|align,24,0.5208,0.4792,0.252952,0.276468,4.864,0.338214,4.75,333.3,333.3,FDM,fdm_strut,aligned,,,3.0,8.0,0.1797,0.0
FDM|s3|l8|align,32,0.5234,0.4766,0.239514,0.313145,5.116,0.329622,5.4062,353.6,353.6,FDM,fdm_strut,aligned,,,3.0,8.0,0.1797,0.0
FDM|s3|l8|align,44,0.5227,0.4773,0.216757,0.279981,5.391,0.352744,5.4917,327.8,287.5,FDM,fdm_strut,aligned,,,3.0,8.0,0.1797,0.0
FDM|s3|l8|stag,20,0.53,0.47,0.1904,0.305248,5.019,0.304296,4.8,400.0,400.0,FDM,fdm_strut,staggered,,,3.0,8.0,0.1797,1.0
FDM|s3|l8|stag,24,0.5208,0.4792,0.206731,0.271374,4.765,0.303652,4.75,333.3,333.3,FDM,fdm_strut,staggered,,,3.0,8.0,0.1797,1.0
FDM|s3|l8|stag,32,0.5234,0.4766,0.161148,0.311022,5.793,0.31375,5.4062,353.6,353.6,FDM,fdm_strut,staggered,,,3.0,8.0,0.1797,1.0
FDM|s3|l8|stag,44,0.5227,0.4773,0.152639,0.278554,5.864,0.337898,5.4917,327.8,287.5,FDM,fdm_strut,staggered,,,3.0,8.0,0.1797,1.0
FDM|s4|l10|align,24,0.4167,0.5833,0.344905,0.383977,3.467,0.194482,7.1111,235.7,333.3,FDM,fdm_strut,aligned,,,4.0,10.0,0.1437,0.0
FDM|s4|l10|align,32,0.5,0.5,0.317545,0.346385,3.879,0.329829,6.0,250.0,250.0,FDM,fdm_strut,aligned,,,4.0,10.0,0.1437,0.0
FDM|s4|l10|align,44,0.4711,0.5289,0.279341,0.31288,4.305,0.278991,7.6198,203.3,272.7,FDM,fdm_strut,aligned,,,4.0,10.0,0.1437,0.0
FDM|s4|l10|stag,24,0.4167,0.5833,0.250387,0.378783,3.955,0.179879,7.1111,235.7,333.3,FDM,fdm_strut,staggered,,,4.0,10.0,0.1437,1.0
FDM|s4|l10|stag,32,0.5,0.5,0.24315,0.342218,4.342,0.278536,6.0,250.0,250.0,FDM,fdm_strut,staggered,,,4.0,10.0,0.1437,1.0
FDM|s4|l10|stag,44,0.4793,0.5207,0.201489,0.305683,4.723,0.276737,7.2727,203.3,257.1,FDM,fdm_strut,staggered,,,4.0,10.0,0.1437,1.0
FDM|s4|l8|align,20,0.4,0.6,0.476257,0.411805,2.51,0.218559,5.44,200.0,400.0,FDM,fdm_strut,aligned,,,4.0,8.0,0.1797,0.0
FDM|s4|l8|align,24,0.3611,0.6389,0.451784,0.382997,2.777,0.184123,5.7778,166.7,333.3,FDM,fdm_strut,aligned,,,4.0,8.0,0.1797,0.0
FDM|s4|l8|align,32,0.3438,0.6562,0.408066,0.442141,3.127,0.179386,7.0,176.8,353.6,FDM,fdm_strut,aligned,,,4.0,8.0,0.1797,0.0
FDM|s4|l8|align,44,0.3967,0.6033,0.390722,0.358148,3.012,0.242768,6.2645,181.8,287.5,FDM,fdm_strut,aligned,,,4.0,8.0,0.1797,0.0
FDM|s4|l8|stag,20,0.36,0.64,0.447167,0.43885,2.351,0.148419,5.86,200.0,400.0,FDM,fdm_strut,staggered,,,4.0,8.0,0.1797,1.0
FDM|s4|l8|stag,24,0.3611,0.6389,0.440411,0.377439,2.8,0.175003,5.7778,166.7,333.3,FDM,fdm_strut,staggered,,,4.0,8.0,0.1797,1.0
FDM|s4|l8|stag,32,0.3438,0.6562,0.366179,0.440672,2.93,0.17515,7.0,176.8,353.6,FDM,fdm_strut,staggered,,,4.0,8.0,0.1797,1.0
FDM|s4|l8|stag,44,0.376,0.624,0.353315,0.369815,3.01,0.226739,6.6074,181.8,287.5,FDM,fdm_strut,staggered,,,4.0,8.0,0.1797,1.0
TPMS|diamond|network|c1|P0.40,16,0.3828,0.6172,0.307396,0.307396,3.83,0.16344,2.8594,612.4,901.4,TPMS,diamond,network,1.0,0.4,,,,
TPMS|diamond|network|c1|P0.40,20,0.389,0.611,0.296925,0.296925,4.021,0.188644,2.79,632.5,824.6,TPMS,diamond,network,1.0,0.4,,,,
TPMS|diamond|network|c1|P0.40,24,0.3958,0.6042,0.290239,0.290239,3.944,0.200668,2.8958,666.7,833.3,TPMS,diamond,network,1.0,0.4,,,,
TPMS|diamond|network|c1|P0.40,32,0.4004,0.5996,0.279868,0.279868,4.111,0.211006,2.8477,625.0,800.4,TPMS,diamond,network,1.0,0.4,,,,
TPMS|diamond|network|c1|P0.40,44,0.3996,0.6004,0.281358,0.281358,4.141,0.207802,2.8884,582.1,787.3,TPMS,diamond,network,1.0,0.4,,,,
TPMS|diamond|network|c1|P0.60,16,0.6172,0.3828,0.104996,0.104996,8.203,0.376174,2.8594,901.4,612.4,TPMS,diamond,network,1.0,0.6,,,,
TPMS|diamond|network|c1|P0.60,20,0.611,0.389,0.107343,0.107343,8.353,0.389899,2.79,824.6,632.5,TPMS,diamond,network,1.0,0.6,,,,
