sample_id,family,topology,mode,grid,n_cells,unit_cell_mm,strut_d,strut_spacing,n_struts,n_layers,stagger,target_porosity,porosity,relative_density,E_rel_z,E_rel_x,anisotropy_z_over_x,K_sc_z,K_sc_x,D_eff_z,D_eff_x,D_anisotropy_z_over_x,tortuosity_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,solid_connectivity,pore_connected,cg_converged
SIM0000,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1307,0.1667,6.0,12.0,0.0,,0.3058,0.6942,0.493313,0.395187,1.2483,2.478,3.006,0.138897,0.165059,0.8415,2.2015,9.9835,128.6,203.3,1.0,1,1
SIM0001,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1328,0.1667,6.0,16.0,0.0,,0.3058,0.6942,0.461565,0.414995,1.1122,2.609,2.749,0.154125,0.177813,0.8668,1.984,10.0992,128.6,257.1,1.0,1,1
SIM0002,FDM,fdm_strut,aligned,44,,0.5,0.196,0.25,4.0,8.0,0.0,,0.314,0.686,0.407981,0.36551,1.1162,2.991,2.946,0.17049,0.172646,0.9875,1.842,7.0909,181.8,327.8,1.0,1,1
SIM0003,FDM,fdm_strut,aligned,44,,0.5,0.1886,0.25,4.0,10.0,0.0,,0.314,0.686,0.440426,0.41232,1.0682,2.725,2.791,0.159232,0.186043,0.8559,1.9723,7.124,181.8,327.8,1.0,1,1
SIM0004,FDM,fdm_strut,aligned,44,,0.5,0.1966,0.25,4.0,10.0,0.0,,0.314,0.686,0.407981,0.36551,1.1162,2.991,2.946,0.17049,0.172646,0.9875,1.842,7.0909,181.8,327.8,1.0,1,1
SIM0005,FDM,fdm_strut,aligned,44,,0.4,0.1562,0.2,5.0,8.0,0.0,,0.314,0.686,0.449949,0.353746,1.272,2.62,3.229,0.16819,0.146806,1.1457,1.8672,8.3037,128.6,272.7,1.0,1,1
SIM0006,FDM,fdm_strut,aligned,44,,0.4,0.1568,0.2,5.0,10.0,0.0,,0.314,0.686,0.449949,0.353746,1.272,2.62,3.229,0.16819,0.146806,1.1457,1.8672,8.3037,128.6,272.7,1.0,1,1
SIM0007,FDM,fdm_strut,aligned,44,,0.4,0.1572,0.2,5.0,12.0,0.0,,0.314,0.686,0.449949,0.353746,1.272,2.62,3.229,0.16819,0.146806,1.1457,1.8672,8.3037,128.6,272.7,1.0,1,1
SIM0008,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1291,0.1667,6.0,14.0,0.0,,0.314,0.686,0.491061,0.390941,1.2561,2.49,3.039,0.150798,0.167993,0.8976,2.0826,9.6198,128.6,203.3,1.0,1,1
SIM0009,FDM,fdm_strut,aligned,44,,0.6666666666666666,0.2557,0.3333,3.0,8.0,0.0,,0.3182,0.6818,0.448408,0.431308,1.0396,2.664,2.573,0.184256,0.206848,0.8908,1.7269,5.0826,203.3,406.6,1.0,1,1
SIM0010,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1278,0.1667,6.0,16.0,0.0,,0.3306,0.6694,0.472265,0.37848,1.2478,2.561,3.182,0.171492,0.181209,0.9464,1.9277,9.4545,128.6,203.3,1.0,1,1
SIM0011,FDM,fdm_strut,aligned,44,,0.5,0.1861,0.25,4.0,8.0,0.0,,0.3388,0.6612,0.410019,0.399866,1.0254,2.92,2.87,0.174932,0.191391,0.914,1.937,7.3554,181.8,287.5,1.0,1,1
SIM0012,FDM,fdm_strut,aligned,44,,0.4,0.1461,0.2,5.0,14.0,0.0,,0.3471,0.6529,0.433437,0.396385,1.0935,2.769,2.989,0.183253,0.201161,0.911,1.8941,8.343,181.8,272.7,1.0,1,1
SIM0013,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.125,0.1667,6.0,10.0,0.0,,0.3471,0.6529,0.42469,0.364361,1.1656,2.817,3.214,0.183368,0.192213,0.954,1.893,9.8843,128.6,203.3,1.0,1,1
SIM0014,FDM,fdm_strut,aligned,44,,0.4,0.1506,0.2,5.0,12.0,0.0,,0.3512,0.6488,0.396193,0.330434,1.199,2.965,3.408,0.191483,0.170488,1.1231,1.8343,8.7025,128.6,257.1,1.0,1,1
SIM0015,FDM,fdm_strut,aligned,44,,0.4,0.1518,0.2,5.0,14.0,0.0,,0.3512,0.6488,0.396193,0.330434,1.199,2.965,3.408,0.191483,0.170488,1.1231,1.8343,8.7025,128.6,257.1,1.0,1,1
SIM0016,FDM,fdm_strut,aligned,44,,0.6666666666666666,0.2457,0.3333,3.0,8.0,0.0,,0.3554,0.6446,0.392207,0.402663,0.974,3.071,2.728,0.223354,0.230825,0.9676,1.5911,5.095,203.3,406.6,1.0,1,1
SIM0017,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1241,0.1667,6.0,12.0,0.0,,0.3554,0.6446,0.42101,0.360069,1.1692,2.842,3.251,0.18869,0.187564,1.006,1.8834,9.8843,128.6,203.3,1.0,1,1
SIM0018,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1234,0.1667,6.0,14.0,0.0,,0.3554,0.6446,0.42101,0.360069,1.1692,2.842,3.251,0.18869,0.187564,1.006,1.8834,9.8843,128.6,203.3,1.0,1,1
SIM0019,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1229,0.1667,6.0,16.0,0.0,,0.3554,0.6446,0.42101,0.360069,1.1692,2.842,3.251,0.18869,0.187564,1.006,1.8834,9.8843,128.6,203.3,1.0,1,1
SIM0020,FDM,fdm_strut,aligned,44,,0.4,0.1489,0.2,5.0,10.0,0.0,,0.3595,0.6405,0.39465,0.326258,1.2096,2.988,3.453,0.204571,0.174616,1.1716,1.7574,8.3388,181.8,257.1,1.0,1,1
SIM0021,FDM,fdm_strut,aligned,44,,0.4,0.1439,0.2,5.0,12.0,0.0,,0.3595,0.6405,0.417006,0.385943,1.0805,2.887,3.054,0.188535,0.21308,0.8848,1.9068,8.4959,181.8,257.1,1.0,1,1
SIM0022,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1174,0.1667,6.0,12.0,0.0,,0.3636,0.6364,0.407172,0.385105,1.0573,2.924,3.088,0.186754,0.213872,0.8732,1.9471,10.4793,128.6,203.3,1.0,1,1
SIM0023,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1177,0.1667,6.0,14.0,0.0,,0.3636,0.6364,0.407172,0.385105,1.0573,2.924,3.088,0.186754,0.213872,0.8732,1.9471,10.4793,128.6,203.3,1.0,1,1
SIM0024,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1179,0.1667,6.0,16.0,0.0,,0.3636,0.6364,0.407172,0.385105,1.0573,2.924,3.088,0.186754,0.213872,0.8732,1.9471,10.4793,128.6,203.3,1.0,1,1
SIM0025,FDM,fdm_strut,aligned,44,,0.4,0.1409,0.2,5.0,10.0,0.0,,0.3802,0.6198,0.394286,0.375523,1.05,3.062,3.136,0.213379,0.216094,0.9874,1.7816,8.2355,181.8,257.1,1.0,1,1
SIM0026,FDM,fdm_strut,aligned,44,,0.4,0.1404,0.2,5.0,14.0,0.0,,0.3822,0.6178,0.38661,0.372723,1.0373,3.107,3.14,0.215732,0.21789,0.9901,1.7718,8.2893,181.8,257.1,1.0,1,1
SIM0027,FDM,fdm_strut,aligned,44,,0.6666666666666666,0.2259,0.3333,3.0,8.0,0.0,,0.3926,0.6074,0.366756,0.330973,1.1081,3.192,3.42,0.242342,0.21635,1.1201,1.6199,5.25,272.7,363.6,1.0,1,1
SIM0028,FDM,fdm_strut,aligned,44,,0.6666666666666666,0.2358,0.3333,3.0,8.0,0.0,,0.3926,0.6074,0.340728,0.375012,0.9086,3.545,2.898,0.250396,0.261485,0.9576,1.5678,5.2727,257.1,374.8,1.0,1,1
SIM0029,FDM,fdm_strut,aligned,44,,0.5,0.1807,0.25,4.0,10.0,0.0,,0.3967,0.6033,0.390722,0.358148,1.091,3.012,3.23,0.242768,0.234713,1.0343,1.634,6.2645,181.8,287.5,1.0,1,1
SIM0030,FDM,fdm_strut,aligned,44,,0.4,0.1373,0.2,5.0,12.0,0.0,,0.3967,0.6033,0.361644,0.359495,1.006,3.327,3.172,0.226414,0.231621,0.9775,1.7521,8.4793,181.8,257.1,1.0,1,1
SIM0031,FDM,fdm_strut,aligned,44,,0.5,0.1761,0.25,4.0,8.0,0.0,,0.405,0.595,0.364642,0.352724,1.0338,3.316,3.287,0.249252,0.23815,1.0466,1.6247,6.4298,181.8,272.7,1.0,1,1
SIM0032,FDM,fdm_strut,aligned,44,,0.5,0.1771,0.25,4.0,12.0,0.0,,0.405,0.595,0.364642,0.352724,1.0338,3.316,3.287,0.249252,0.23815,1.0466,1.6247,6.4298,181.8,272.7,1.0,1,1
SIM0033,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1108,0.1667,6.0,12.0,0.0,,0.4091,0.5909,0.393893,0.359734,1.095,3.069,3.34,0.224718,0.237657,0.9456,1.8205,9.4793,181.8,181.8,1.0,1,1
SIM0034,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.112,0.1667,6.0,14.0,0.0,,0.4091,0.5909,0.393893,0.359734,1.095,3.069,3.34,0.224718,0.237657,0.9456,1.8205,9.4793,181.8,181.8,1.0,1,1
SIM0035,FDM,fdm_strut,aligned,44,,0.3333333333333333,0.1129,0.1667,6.0,16.0,0.0,,0.4091,0.5909,0.393893,0.359734,1.095,3.069,3.34,0.224718,0.237657,0.9456,1.8205,9.4793,181.8,181.8,1.0,1,1
SIM0036,FDM,fdm_strut,aligned,44,,0.4,0.1347,0.2,5.0,14.0,0.0,,0.4112,0.5888,0.340928,0.348092,0.9794,3.526,3.285,0.234224,0.241898,0.9683,1.7554,8.6653,181.8,257.1,1.0,1,1
SIM0037,FDM,fdm_strut,aligned,44,,0.5,0.1662,0.25,4.0,8.0,0.0,,0.4132,0.5868,0.341216,0.298374,1.1436,3.43,3.895,0.250836,0.206376,1.2154,1.6474,6.8595,181.8,272.7,1.0,1,1
