topology,mode,n_cells,grid,unit_cell_mm,target_porosity,porosity,relative_density,E_rel,D_eff_rel,tortuosity,specific_surface_per_mm,solid_connectivity,nominal_pore_um,cg_converged,pore_connected
gyroid,network,1,20,2.0,0.3,0.3,0.7,0.449479,0.120512,2.4894,2.07,0.9998,600.0,1,1
gyroid,network,1,20,2.0,0.35,0.353,0.647,0.368352,0.150485,2.3457,2.31,1.0,706.0,1,1
gyroid,network,1,20,2.0,0.4,0.401,0.599,0.315622,0.203335,1.9721,2.25,1.0,802.0,1,1
gyroid,network,1,20,2.0,0.45,0.455,0.545,0.260701,0.240909,1.8887,2.385,1.0,910.0,1,1
gyroid,network,1,20,2.0,0.5,0.5,0.5,0.213656,0.281834,1.7741,2.4,1.0,1000.0,1,1
gyroid,network,1,20,2.0,0.55,0.545,0.455,0.169089,0.329209,1.6555,2.385,1.0,1090.0,1,1
gyroid,network,1,20,2.0,0.6,0.599,0.401,0.13929,0.388676,1.5411,2.25,1.0,1198.0,1,1
gyroid,network,1,20,2.0,0.65,0.647,0.353,0.097185,0.440229,1.4697,2.31,1.0,1294.0,1,1
gyroid,network,1,20,2.0,0.7,0.7,0.3,0.070966,0.516248,1.3559,2.07,1.0,1400.0,1,1
gyroid,network,1,20,2.0,0.75,0.751,0.249,0.044392,0.578369,1.2985,2.085,1.0,1502.0,1,1
gyroid,network,1,20,2.0,0.8,0.799,0.201,0.014281,0.652415,1.2247,1.815,0.875,1598.0,1,1
gyroid,network,1,20,2.0,0.85,0.85,0.15,0.008169,0.715091,1.1887,1.65,0.875,1700.0,1,1
gyroid,network,2,20,1.0,0.3,0.304,0.696,0.436681,0.128674,2.3626,8.28,1.0,152.0,1,1
gyroid,network,2,20,1.0,0.35,0.376,0.624,0.338824,0.166322,2.2607,9.12,1.0,188.0,1,1
gyroid,network,2,20,1.0,0.4,0.376,0.624,0.338824,0.166322,2.2607,9.12,1.0,188.0,1,1
gyroid,network,2,20,1.0,0.45,0.448,0.552,0.257506,0.215119,2.0826,9.72,1.0,224.0,1,1
gyroid,network,2,20,1.0,0.5,0.504,0.496,0.222765,0.276877,1.8203,8.88,1.0,252.0,1,1
gyroid,network,2,20,1.0,0.55,0.552,0.448,0.158041,0.307096,1.7975,9.72,1.0,276.0,1,1
gyroid,network,2,20,1.0,0.6,0.624,0.376,0.11259,0.394123,1.5833,9.12,1.0,312.0,1,1
gyroid,network,2,20,1.0,0.65,0.624,0.376,0.11259,0.394123,1.5833,9.12,1.0,312.0,1,1
gyroid,network,2,20,1.0,0.7,0.696,0.304,0.091616,0.480767,1.4477,8.28,1.0,348.0,1,1
gyroid,network,2,20,1.0,0.75,0.768,0.232,0.027529,0.575473,1.3346,7.56,0.9844,384.0,1,1
gyroid,network,2,20,1.0,0.8,0.8,0.2,0.022363,0.609459,1.3126,7.68,0.9844,400.0,1,1
gyroid,network,2,20,1.0,0.85,0.824,0.176,0.013999,0.65034,1.267,7.2,0.9844,412.0,1,1
gyroid,sheet,1,20,2.0,0.3,0.3,0.7,0.40944,0.06138,4.8876,3.3,0.9964,600.0,1,1
gyroid,sheet,1,20,2.0,0.35,0.354,0.646,0.354644,0.072145,4.9068,3.39,0.9973,708.0,1,1
gyroid,sheet,1,20,2.0,0.4,0.39,0.61,0.323977,0.084473,4.6169,3.36,0.9984,780.0,1,1
gyroid,sheet,1,20,2.0,0.45,0.45,0.55,0.257242,0.118836,3.7867,3.84,0.9982,900.0,1,1
gyroid,sheet,1,20,2.0,0.5,0.51,0.49,0.203061,0.177469,2.8737,4.23,0.998,1020.0,1,1
gyroid,sheet,1,20,2.0,0.55,0.564,0.436,0.17172,0.204268,2.7611,4.11,0.9994,1128.0,1,1
gyroid,sheet,1,20,2.0,0.6,0.6,0.4,0.151038,0.236426,2.5378,4.14,0.9994,1200.0,1,1
gyroid,sheet,1,20,2.0,0.65,0.66,0.34,0.11503,0.278693,2.3682,4.35,0.9993,1320.0,1,1
gyroid,sheet,1,20,2.0,0.7,0.706,0.294,0.084647,0.309239,2.283,4.62,1.0,1412.0,1,1
gyroid,sheet,1,20,2.0,0.75,0.742,0.258,0.069654,0.344039,2.1567,4.71,1.0,1484.0,1,1
gyroid,sheet,1,20,2.0,0.8,0.802,0.198,0.047076,0.399545,2.0073,4.5,1.0,1604.0,1,1
gyroid,sheet,1,20,2.0,0.85,0.85,0.15,0.030506,0.439801,1.9327,4.77,1.0,1700.0,1,1
gyroid,sheet,2,20,1.0,0.3,0.256,0.744,0.504177,0.051729,4.9489,12.24,0.9997,128.0,1,1
gyroid,sheet,2,20,1.0,0.35,0.256,0.744,0.504177,0.051729,4.9489,12.24,0.9997,128.0,1,1
gyroid,sheet,2,20,1.0,0.4,0.4,0.6,0.317155,0.101342,3.947,15.36,0.9996,200.0,1,1
gyroid,sheet,2,20,1.0,0.45,0.464,0.536,0.271963,0.128936,3.5987,15.12,1.0,232.0,1,1
gyroid,sheet,2,20,1.0,0.5,0.464,0.536,0.271963,0.128936,3.5987,15.12,1.0,232.0,1,1
gyroid,sheet,2,20,1.0,0.55,0.608,0.392,0.156386,0.257412,2.362,16.56,1.0,304.0,1,1
gyroid,sheet,2,20,1.0,0.6,0.608,0.392,0.156386,0.257412,2.362,16.56,1.0,304.0,1,1
gyroid,sheet,2,20,1.0,0.65,0.656,0.344,0.129514,0.278267,2.3574,16.56,0.9767,328.0,1,1
gyroid,sheet,2,20,1.0,0.7,0.656,0.344,0.129514,0.278267,2.3574,16.56,0.9767,328.0,1,1
gyroid,sheet,2,20,1.0,0.75,0.656,0.344,0.129514,0.278267,2.3574,16.56,0.9767,328.0,1,1
gyroid,sheet,2,20,1.0,0.8,0.848,0.152,0.028967,0.591047,1.4347,13.2,0.0049,424.0,1,1
gyroid,sheet,2,20,1.0,0.85,0.848,0.152,0.028967,0.591047,1.4347,13.2,0.0049,424.0,1,1
diamond,network,1,20,2.0,0.3,0.299,0.701,0.415796,0.120549,2.4803,2.61,1.0,598.0,1,1
diamond,network,1,20,2.0,0.35,0.329,0.671,0.376912,0.136729,2.4062,2.85,1.0,658.0,1,1
diamond,network,1,20,2.0,0.4,0.389,0.611,0.296927,0.188644,2.0621,2.79,1.0,778.0,1,1
diamond,network,1,20,2.0,0.45,0.449,0.551,0.22925,0.237826,1.8879,2.88,1.0,898.0,1,1
diamond,network,1,20,2.0,0.5,0.4985,0.5015,0.187673,0.279709,1.7822,2.8875,1.0,997.0,1,1
