source_doi,source_title,biopolymer_type,material_composition,pore_size_um,porosity_pct,printing_method,layer_thickness_um,density_g_cm3,compressive_strength_MPa,elastic_modulus_MPa,degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score,notes
SYNTHETIC_GIBSON_ASHBY,,PLA,PLA,222.44592690173812,74.49302998558997,FDM,141.86137855754316,0.316,9.36,239.8,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA/HA,PLA/HA (20wt% HA),114.89860971903516,55.31530918111623,freeze drying,165.591392441081,0.725,34.07,4280.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (15wt% HA),394.63284193795437,43.226437322441804,FDM,342.829137003348,0.944,28.71,5575.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA/HA,PLGA/HA (10wt% HA),207.6568810537944,46.67228050029851,FDM,329.0482387019572,0.811,25.67,2696.1,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA/HA,PGA/HA (20wt% HA),121.72522146154859,45.871252033320786,FDM,237.82746390155276,1.004,53.72,6959.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (10wt% HA),409.25987618212304,79.7642798551797,freeze drying,358.51207009323315,0.319,4.88,434.9,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (10wt% HA),527.6588605075735,89.11329123964546,salt leaching,359.9451000265809,0.146,2.47,103.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,204.75351538574384,52.21085802701296,electrospinning,180.093346614734,0.731,34.12,834.8,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),181.7012468809642,73.74760787702095,electrospinning,213.83663252729434,0.406,11.33,1333.9,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,116.05012195201888,43.74288431784626,SLS,194.63591441772456,0.861,47.43,963.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (30wt% HA),427.71933264744,48.88067284790867,electrospinning,218.6895703181993,0.984,38.9,7510.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (30wt% HA),231.37080426146764,63.682088049789044,freeze drying,275.3757970670622,0.634,23.65,3489.6,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),477.8910787668689,59.610950093377866,SLA,358.33087289999975,0.624,25.68,3102.8,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA/HA,PLGA/HA (20wt% HA),290.8096432532684,33.81166236911743,freeze drying,398.836414072029,1.127,54.71,7946.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA/HA,PLA/HA (30wt% HA),440.8551845132874,73.24330916161168,SLS,261.0910991226385,0.485,17.85,2278.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA/HA,PGA/HA (15wt% HA),101.62265805086464,39.489465260680184,electrospinning,316.6276183929732,1.073,61.2,5604.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),535.2592849183834,84.75767036068923,electrospinning,189.53343743458987,0.236,4.98,426.6,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,489.31323931527913,62.36274180717754,FDM,259.10610165855326,0.576,23.01,510.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA/HA,PLA/HA (10wt% HA),515.8327646805897,82.72331266939105,FDM,192.25423762079845,0.247,6.48,334.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA,PLA,508.01162671004425,73.91445569067767,freeze drying,393.39534810320026,0.323,7.69,257.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA/HA,PLGA/HA (20wt% HA),363.83689370912697,39.90761753844766,SLA,281.97817524478864,1.023,50.15,7988.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (30wt% HA),597.5746783304473,48.7029774780537,salt leaching,294.96341729183604,0.896,42.72,8039.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL,PCL,110.51713000352945,33.84155377958069,freeze drying,266.176456727344,0.758,18.75,160.4,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA,PLA,115.70647902650907,34.04401968661845,freeze drying,199.1285467241496,0.818,36.58,1402.9,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),567.7571202903355,37.9387109235015,salt leaching,271.31292799758535,0.959,44.62,6512.1,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA,PLGA,429.4913747573315,35.659547789512935,salt leaching,206.28926997686614,0.862,27.58,819.7,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA,PLA,269.6513026974816,54.15727692613613,SLA,358.50176090583733,0.568,20.39,667.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (15wt% HA),331.31403420048366,41.009282147233996,FDM,362.34578622117397,0.853,39.67,4734.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan,Chitosan,599.6412342063634,33.03529977149287,FDM,350.80827552398557,0.938,21.19,1517.4,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (15wt% HA),206.87364959959083,59.138467527043105,FDM,220.31208776483578,0.591,17.55,2078.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA/HA,PLGA/HA (10wt% HA),492.5646783970608,85.59108441356,electrospinning,185.5747686840761,0.219,4.71,255.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (30wt% HA),177.39841263703207,73.10449651777955,FDM,189.01234764836926,0.518,16.17,2155.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,338.39425855446746,33.008540235837216,freeze drying,375.81613924962255,1.025,62.41,1409.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA,PLA,133.98043168787862,34.11127996222754,salt leaching,358.5457605910388,0.817,38.83,1346.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),409.69075516605153,65.67114921200647,freeze drying,225.76747460076174,0.531,17.49,2201.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,257.091931397788,70.18355848618975,SLA,179.68435375940615,0.456,15.3,327.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,410.5796277465464,30.558927413054782,FDM,268.8980936916838,1.062,52.89,1471.7,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,540.4320868432198,85.99556267962254,SLS,363.78107274536285,0.214,5.14,64.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (30wt% HA),591.9266551257411,48.15102857873339,freeze drying,342.12998297954266,0.998,46.81,6667.9,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA/HA,PGA/HA (30wt% HA),539.063482486796,36.21519011509269,FDM,179.3397764461383,1.286,73.08,12853.1,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA/HA,PGA/HA (20wt% HA),271.4401438966293,42.63777928841658,SLS,306.24913864039917,1.063,56.28,6855.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA,PLA,514.6740446861097,68.05706683855165,SLS,113.226028539715,0.396,12.22,386.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,375.8402105631956,74.47385450087586,FDM,228.3060756942038,0.391,14.62,201.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),284.6079922560958,32.16168828364984,salt leaching,265.7575290234993,1.049,48.45,7488.6,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA/HA,PLA/HA (10wt% HA),224.76486961146222,42.60459230038524,freeze drying,130.83808650153568,0.821,37.4,4463.7,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (30wt% HA),564.9405078468371,39.27320029993228,SLA,359.3817088659892,1.169,46.46,11959.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA/HA,PGA/HA (15wt% HA),532.0320141876397,78.13410833622834,SLS,343.22479497231666,0.388,14.09,707.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA,PLGA,211.2168587728322,81.5155950802669,salt leaching,344.9759816790787,0.248,4.36,65.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL,PCL,196.56489416385432,31.41986608208709,FDM,198.47858535931195,0.785,21.21,214.5,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (15wt% HA),521.8305816360404,70.77108710161582,FDM,199.34496046432213,0.486,13.48,1213.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PCL/HA,PCL/HA (20wt% HA),232.7331812614843,87.75205894569334,salt leaching,132.52076416441332,0.189,4.28,262.1,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA/HA,PLGA/HA (20wt% HA),157.82289201466523,89.0541509589954,SLA,369.8514198733599,0.186,3.85,217.6,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLA/HA,PLA/HA (20wt% HA),369.22599854639594,85.53450992994496,electrospinning,315.82899974345366,0.235,5.6,466.2,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA,PLGA,560.38542810902,86.93246915827885,electrospinning,286.94662298392274,0.175,2.52,37.7,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA/HA,PGA/HA (20wt% HA),304.1964543096084,48.5570797325192,SLS,220.7201161173174,0.954,46.88,5594.3,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PLGA/HA,PLGA/HA (30wt% HA),187.013671604972,74.8880736095334,salt leaching,270.73157645974277,0.473,13.37,1816.7,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,PGA,PGA,389.992390597841,55.79328899939007,salt leaching,296.4116871109215,0.676,30.94,672.0,,,,"synthetic - Gibson-Ashby model, not experimental"
SYNTHETIC_GIBSON_ASHBY,,Chitosan/HA,Chitosan/HA (15wt% HA),579.9160018415181,77.62412394636013,electrospinning,320.7884337820665,0.372,7.95,703.5,,,,"synthetic - Gibson-Ashby model, not experimental"
