polymer,ceramic,ceramic_wt,site,E0_MPa,sigma0_MPa,E_12wk_pct,mass_12wk_pct,polymer_resorbed_week,min_pH,porosity_final,load_transfer_cost,meets_stiffness,meets_strength,pH_safe,config,family,topology,mode,porosity,E_rel_z,pore_size_um,strut_thickness_um,K_sc_z,anisotropy,ga_n,ga_C,ga_fit_r2,n_constraints_met
chitosan,bioglass,0.3,trabecular_high,671.9304748808214,20.175508038810502,80.87201313551056,99.95287803446399,,7.2770828052918315,0.5174132264488409,0.08126386172155822,True,True,True,TPMS|iwp|network|c2,TPMS,iwp,network,0.5078,0.289243,500.0,375.0,4.03,1.0,1.4786956212166902,0.8153562240264155,0.9932660860986092,3
chitosan,bioglass,0.3,trabecular_high,630.8911972863954,18.222164364949872,80.87195421549588,99.9529001671252,,7.278503726145234,0.5245259578235387,0.08544621131083274,True,True,True,TPMS|iwp|sheet|c1,TPMS,iwp,sheet,0.5151,0.271577,500.0,306.2,4.462,1.0,1.6233848393323276,0.9045783206190872,0.9984056793607807,3
chitosan,bioglass,0.3,trabecular_high,605.9089493949397,18.491539094020087,80.88291926933846,99.95292228597262,,7.279922835327427,0.5402700230355078,0.08929979713309252,True,True,True,TPMS|iwp|network|c2,TPMS,iwp,network,0.5312,0.260823,500.0,375.0,4.397,1.0,1.4786956212166902,0.8153562240264155,0.9932660860986092,3
chitosan,bioglass,0.3,trabecular_high,593.5293325999268,17.511802153005885,80.8828616165838,99.95294439101666,,7.2813401323116,0.546013682941474,0.09118430109553916,True,True,True,TPMS|iwp|sheet|c1,TPMS,iwp,sheet,0.5371,0.255494,515.4,306.2,4.643,1.0,1.6233848393323276,0.9045783206190872,0.9984056793607807,3
PLLA,beta_TCP,0.15,trabecular_high,629.6268838194578,21.7093568980682,87.46921949193653,99.96969536399848,,6.628678408117282,0.5923438461355992,0.09126526423244469,True,True,True,TPMS|gyroid|sheet|c1,TPMS,gyroid,sheet,0.5859,0.152668,586.3,306.2,6.649,1.0,1.693269766558172,0.731407202437332,0.9769674364525385,3
PLLA,bioglass,0.15,trabecular_high,629.8410762331838,21.716742191920698,88.09859618067014,99.9717569775097,,6.981076311394014,0.5889649605790322,0.09259547121266862,True,True,True,TPMS|gyroid|sheet|c1,TPMS,gyroid,sheet,0.5859,0.152668,586.3,306.2,6.649,1.0,1.693269766558172,0.731407202437332,0.9769674364525385,3
silk,beta_TCP,0.15,trabecular_high,559.331876976678,18.46800124770531,90.3287822602914,99.96732545085698,,6.7707963230683434,0.5426990884073212,0.0929738820660735,True,True,True,TPMS|gyroid|sheet|c1,TPMS,gyroid,sheet,0.5391,0.185807,559.0,353.6,5.705,1.0,1.693269766558172,0.731407202437332,0.9769674364525385,3
chitosan,bioglass,0.3,trabecular_high,593.0043197653099,17.110121505977762,80.87948026732928,99.9529001671252,,7.278503726145234,0.5326646143507909,0.09362712911550194,True,True,True,TPMS|diamond|sheet|c1,TPMS,diamond,sheet,0.5234,0.255268,515.4,279.5,4.752,1.0,1.4258574162638877,0.7679338765501815,0.9856058001529598,3
silk,HA,0.3,trabecular_high,573.8249628661588,19.785322444164027,90.23621154160004,99.9727296440651,,6.698120636582694,0.5889341990648598,0.09459016452466415,True,True,True,TPMS|gyroid|sheet|c1,TPMS,gyroid,sheet,0.5859,0.152668,586.3,306.2,6.649,1.0,1.693269766558172,0.731407202437332,0.9769674364525385,3
silk,HA,0.15,trabecular_high,561.5517918876383,18.541298324151256,90.01237137444264,99.96594744287826,,6.506133697111789,0.544556882122279,0.09478790068318903,True,True,True,TPMS|gyroid|sheet|c1,TPMS,gyroid,sheet,0.5391,0.185807,559.0,353.6,5.705,1.0,1.693269766558172,0.731407202437332,0.9769674364525385,3
