architecture,n,C,points
FDM aligned,1.961,0.978,235
FDM staggered,3.942,2.718,236
diamond network,2.629,1.173,90
diamond sheet,1.607,0.876,83
fischerKochS network,2.455,1.138,84
fischerKochS sheet,2.005,1.13,84
gyroid network,2.414,1.106,90
gyroid sheet,1.857,0.847,90
iwp network,1.525,0.84,86
iwp sheet,2.018,1.204,89
lidinoid network,3.912,1.788,73
lidinoid sheet,2.636,1.364,90
neovius network,3.56,2.118,58
neovius sheet,1.558,0.913,90
schwarzP network,1.99,1.136,74
schwarzP sheet,2.004,0.944,82
splitP network,2.394,1.192,82
splitP sheet,2.159,1.233,90
