model,n_high,n_repeats,r2_std,r2,rmse,mae,spearman,r2_linear,median_fold_error,rho,delta_trust
low_only,4,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,4,5,1.2701,-0.9024,0.7992,0.6707,,-0.4967,1.829,,
fused,4,5,0.0009,0.8187,0.2618,0.2078,0.915,0.8442,1.2076,1.0,0.0
low_only,8,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,8,5,0.1159,0.1771,0.5564,0.4435,0.7256,0.1684,1.4294,,
fused,8,5,0.001,0.8191,0.2615,0.2075,0.9151,0.8446,1.2075,1.0,0.0
low_only,12,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,12,5,0.0925,0.24,0.535,0.4448,0.7801,0.214,1.4811,,
fused,12,5,0.001,0.8186,0.2618,0.2078,0.9152,0.8442,1.2078,1.0,0.0
low_only,16,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,16,5,0.0799,0.506,0.4308,0.3511,0.8287,0.5388,1.3667,,
fused,16,5,0.0009,0.8185,0.2619,0.2079,0.9152,0.8439,1.2078,1.0,0.0
low_only,24,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,24,5,0.2294,0.5641,0.3935,0.3103,0.8315,0.6794,1.2637,,
fused,24,5,0.0004,0.8182,0.2622,0.2083,0.9154,0.8435,1.2077,1.0,0.0
low_only,32,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,32,5,0.1891,0.6542,0.3481,0.2782,0.8617,0.7358,1.2488,,
fused,32,5,0.0012,0.819,0.2616,0.2076,0.9154,0.8446,1.2074,1.0,0.0
low_only,48,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,48,5,0.0505,0.7193,0.3245,0.2627,0.9086,0.8143,1.2332,,
fused,48,5,0.0013,0.82,0.2609,0.2068,0.9151,0.8465,1.2073,1.0,0.0
low_only,64,5,0.0,0.8184,0.262,0.2081,0.915,0.844,1.2076,,
high_only,64,5,0.0054,0.7645,0.2983,0.2432,0.9114,0.8623,1.1935,,
fused,64,5,0.0005,0.8208,0.2603,0.2065,0.915,0.8467,1.2072,1.0,0.0
