weeks,E_scaffold,E_bone,E_total,porosity,mass_remaining,pH
0.0,340.8388,9.3664,350.2053,0.6736,1.0,7.4
1.0,323.414,12.3359,335.7499,0.6736,0.9999,7.3687
2.0,305.73,16.1939,321.9239,0.6737,0.9997,7.337
3.0,287.9065,21.1692,309.0757,0.6738,0.9995,7.3051
4.0,270.0661,27.5239,297.59,0.6739,0.9992,7.2732
5.0,252.3295,35.5413,287.8708,0.674,0.9988,7.2415
6.0,234.8115,45.5015,280.313,0.6742,0.9982,7.2103
7.0,217.6161,57.6403,275.2564,0.6745,0.9974,7.1798
8.0,200.8323,72.0934,272.9258,0.6748,0.9962,7.1502
9.0,184.5295,88.8322,273.3616,0.6754,0.9945,7.1216
10.0,168.7529,107.6074,276.3603,0.6762,0.9921,7.0942
11.0,153.5206,127.9257,281.4463,0.6773,0.9887,7.0682
12.0,138.8193,149.079,287.8983,0.679,0.9835,7.0435
13.0,124.6038,170.2323,294.836,0.6814,0.976,7.0204
14.0,110.7985,190.5506,301.3491,0.685,0.965,6.9987
15.0,97.3089,209.3258,306.6347,0.6903,0.9489,6.9785
16.0,84.0474,226.0645,310.1119,0.6978,0.9257,6.9599
17.0,70.9828,240.5176,311.5004,0.7085,0.8931,6.9427
18.0,58.2137,252.6565,310.8702,0.723,0.8486,6.9269
19.0,46.0387,262.6166,308.6554,0.7418,0.7911,6.9124
20.0,34.9557,270.6341,305.5898,0.7644,0.7217,6.8993
21.0,25.5226,276.9887,302.5113,0.7895,0.6448,6.8873
22.0,18.1107,281.964,300.0747,0.8148,0.5675,6.8765
23.0,12.7284,285.8221,298.5505,0.8377,0.4972,6.8668
24.0,9.0582,288.7915,297.8497,0.8567,0.4389,6.858
25.0,6.6458,291.0639,297.7097,0.8713,0.3943,6.85
26.0,5.0718,292.7952,297.867,0.8818,0.3622,6.843
27.0,4.0254,294.1099,298.1353,0.889,0.3401,6.8366
28.0,3.303,295.1056,298.4086,0.8937,0.3255,6.8309
29.0,2.7797,295.8583,298.638,0.8968,0.3161,6.8258
30.0,2.3815,296.4265,298.808,0.8988,0.31,6.8213
31.0,2.0649,296.8549,298.9199,0.9,0.3062,6.8173
32.0,1.8043,297.1777,298.982,0.9008,0.3039,6.8137
33.0,1.5843,297.4207,299.005,0.9013,0.3024,6.8105
34.0,1.3952,297.6036,298.9988,0.9016,0.3015,6.8077
35.0,1.2308,297.7412,298.972,0.9018,0.3009,6.8052
36.0,1.0869,297.8446,298.9315,0.9019,0.3006,6.8029
37.0,0.9603,297.9224,298.8828,0.902,0.3003,6.8009
38.0,0.8487,297.9809,298.8297,0.902,0.3002,6.7992
39.0,0.7502,298.0249,298.7751,0.902,0.3001,6.7976
40.0,0.6631,298.058,298.721,0.9021,0.3001,6.7963
41.0,0.586,298.0828,298.6688,0.9021,0.3,6.795
42.0,0.5179,298.1015,298.6194,0.9021,0.3,6.794
43.0,0.4577,298.1155,298.5732,0.9021,0.3,6.793
44.0,0.4044,298.126,298.5305,0.9021,0.3,6.7922
45.0,0.3573,298.134,298.4913,0.9021,0.3,6.7914
46.0,0.3157,298.1399,298.4556,0.9021,0.3,6.7908
47.0,0.2789,298.1444,298.4233,0.9021,0.3,6.7902
48.0,0.2464,298.1478,298.3941,0.9021,0.3,6.7897
49.0,0.2176,298.1503,298.3679,0.9021,0.3,6.7892
50.0,0.1922,298.1522,298.3444,0.9021,0.3,6.7888
51.0,0.1698,298.1536,298.3234,0.9021,0.3,6.7885
52.0,0.1499,298.1547,298.3046,0.9021,0.3,6.7881
